state_fips,state_abbr,state_name,territory,ecomm_sales,online_orders,growth_pct,market_potential,coverage_pct,whitespace_pct,priority_score,priority_tier,recommended_action
01,AL,Alabama,Southeast,29000000,2811,22,59,55,45,49,Moderate,Maintain baseline coverage and reassess quarterly
02,AK,Alaska,West,18000000,5135,14,44,44,56,43,Low,Maintain baseline coverage and reassess quarterly
04,AZ,Arizona,Mountain & Plains,39000000,4460,25,79,43,57,64,High,Test targeted campaigns and monitor conversion
05,AR,Arkansas,Southeast,13000000,3394,15,74,39,61,45,Moderate,Maintain baseline coverage and reassess quarterly
06,CA,California,West,92000000,9600,18,94,67,33,85,Highest,Prioritize digital campaigns and field coverage review
08,CO,Colorado,Mountain & Plains,47000000,1653,16,61,73,27,46,Moderate,Maintain baseline coverage and reassess quarterly
09,CT,Connecticut,Northeast,36000000,3977,8,46,62,38,39,Low,Maintain baseline coverage and reassess quarterly
10,DE,Delaware,Northeast,25000000,2401,18,74,51,49,48,Moderate,Maintain baseline coverage and reassess quarterly
11,DC,District of Columbia,Northeast,14000000,4725,10,59,40,60,41,Low,Maintain baseline coverage and reassess quarterly
12,FL,Florida,Southeast,72000000,7580,19,88,58,42,76,Highest,Prioritize digital campaigns and field coverage review
13,GA,Georgia,Southeast,51000000,5520,23,86,49,51,69,High,Test targeted campaigns and monitor conversion
15,HI,Hawaii,West,37000000,1408,21,74,63,37,50,Moderate,Maintain baseline coverage and reassess quarterly
16,ID,Idaho,West,26000000,3732,13,59,52,48,44,Low,Maintain baseline coverage and reassess quarterly
17,IL,Illinois,Central,63000000,6450,14,80,66,34,64,High,Test targeted campaigns and monitor conversion
18,IN,Indiana,Central,43000000,4480,15,72,69,31,53,Moderate,Maintain baseline coverage and reassess quarterly
19,IA,Iowa,Central,32000000,2904,7,57,58,42,38,Low,Maintain baseline coverage and reassess quarterly
20,KS,Kansas,Mountain & Plains,21000000,5228,17,42,47,53,46,Moderate,Maintain baseline coverage and reassess quarterly
21,KY,Kentucky,Southeast,49000000,3652,9,70,75,25,47,Moderate,Maintain baseline coverage and reassess quarterly
22,LA,Louisiana,Southeast,38000000,2076,19,55,64,36,46,Moderate,Maintain baseline coverage and reassess quarterly
23,ME,Maine,Northeast,27000000,4400,11,83,53,47,48,Moderate,Maintain baseline coverage and reassess quarterly
24,MD,Maryland,Northeast,16000000,2824,21,68,42,58,48,Moderate,Maintain baseline coverage and reassess quarterly
25,MA,Massachusetts,Northeast,44000000,5148,13,53,70,30,49,Moderate,Maintain baseline coverage and reassess quarterly
26,MI,Michigan,Central,33000000,3572,5,81,59,41,43,Low,Maintain baseline coverage and reassess quarterly
27,MN,Minnesota,Central,22000000,1996,15,66,48,52,42,Low,Maintain baseline coverage and reassess quarterly
28,MS,Mississippi,Southeast,50000000,4320,7,51,76,24,43,Low,Maintain baseline coverage and reassess quarterly
29,MO,Missouri,Central,39000000,2744,17,79,65,35,51,Moderate,Maintain baseline coverage and reassess quarterly
30,MT,Montana,West,28000000,5068,9,64,54,46,45,Moderate,Maintain baseline coverage and reassess quarterly
31,NE,Nebraska,Mountain & Plains,17000000,3492,19,49,43,57,44,Low,Maintain baseline coverage and reassess quarterly
32,NV,Nevada,West,45000000,1916,11,77,71,29,45,Moderate,Maintain baseline coverage and reassess quarterly
33,NH,New Hampshire,Northeast,34000000,4240,21,62,60,40,53,Moderate,Maintain baseline coverage and reassess quarterly
34,NJ,New Jersey,Northeast,23000000,2664,13,47,49,51,38,Low,Maintain baseline coverage and reassess quarterly
35,NM,New Mexico,Mountain & Plains,12000000,4988,5,75,38,62,40,Low,Maintain baseline coverage and reassess quarterly
36,NY,New York,Northeast,79000000,7900,12,90,74,26,71,High,Prioritize digital campaigns and field coverage review
37,NC,North Carolina,Southeast,49000000,5310,22,84,52,48,66,High,Test targeted campaigns and monitor conversion
38,ND,North Dakota,Mountain & Plains,18000000,4160,17,73,44,56,49,Moderate,Maintain baseline coverage and reassess quarterly
39,OH,Ohio,Central,47000000,5120,15,75,57,43,57,Moderate,Test targeted campaigns and monitor conversion
40,OK,Oklahoma,Southeast,35000000,4908,19,43,61,39,49,Moderate,Maintain baseline coverage and reassess quarterly
41,OR,Oregon,West,24000000,3332,11,71,50,50,43,Low,Maintain baseline coverage and reassess quarterly
42,PA,Pennsylvania,Northeast,58000000,5980,16,82,61,39,64,High,Test targeted campaigns and monitor conversion
44,RI,Rhode Island,Northeast,19000000,1591,12,58,45,55,37,Low,Maintain baseline coverage and reassess quarterly
45,SC,South Carolina,Southeast,47000000,3915,22,43,73,27,52,Moderate,Maintain baseline coverage and reassess quarterly
46,SD,South Dakota,Mountain & Plains,36000000,2339,14,71,62,38,46,Moderate,Maintain baseline coverage and reassess quarterly
